Prompt Cards,Set
"Let all play Paper, Scissors, ______.",Kids Against Maturity
"Let it go!
Let it go!

______ never bothered me anyway...",Crabs Adjust Humidity: Volume 5
Let it go! Let it go! ______never bothered me anyway…,Crazy & Horrible Rabbit - Vol. 1
Let me assert my belief that the only thing we have to fear is _________!,"Bad Campaign, The Presidential Party Game!"
Let me give you a word of advice: your sex life will be a lot better if you avoid ______.,Dick
"Let me tell you about my new startup. It's basically ______, but for ______.",PAX East 2014 - Panel Cards
Let's ____ each other's ____.,Dirty Nasty Filthy
Let's address the huge elephant in the room: ______.,Cards Against Profanity
Let's cover our bodies in oil before we ____.,Dirty Nasty Filthy
Let's do ____ right now.,Dirty Nasty Filthy
Let's do ______ again! This is fun!,Words Against Morality: Volume 4
Let's experiment with ____ while ____ (ing),Dirty Nasty Filthy
"Let's fight on of the most terrible diseases of all, ______.","Guards Against Insanity, Edition 2"
Let's get sticky with ____. So we can ____.,Dirty Nasty Filthy
Let's go to the movies and see ______.,Kids Against Maturity
Let's role play by pretending that I'm a ____.,Dirty Nasty Filthy
Let's set the mood with soft music and candlelight before we ____.,Dirty Nasty Filthy
"Let's take it from the top, and remember, you are ______. Show me  _(SAME CARD AGAIN)_.",Theatre Pack
Liar liar pants on ______.,Kids Against Maturity
Liberals need to stop being so politically correct and start talking about _________., 2016 Election Game 
Life for Aboriginal people was forever changed when the white man introduced them to ______.,CAH Base Set
Life for American Indians was forever changed when the White Man introduced them to ______.,CAH Base Set
Life for the Bushmen was changed when the white man introduced them to ___.,Cards Against/For South Africa
Life for the Bushmen was forever changed when the white men introduced them to ___.,Hilarious!
"Life is a tale told by an idiot, full of sound and fury, signifying ______.",Bards Dispense Profanity
Life is what happens while you're ______.,Cads Against Adulting
Life isn't about finding yourself.  Life is about _____.,Clones Attack Hilarity #2
LIFE PRO TIP: Try ______ instead of ______.,WTF Did You Say?!?
Life was difficult for cavemen before ______.,CAH Base Set
Life was difficult for cavemen before ______.,Cards for the Masses
Life was difficult for cavement before ___.,Cards Against/For South Africa
Life was difficult for the Bushmen before ___.,Hilarious!
Life's pretty tough in the fast lane. That's why I never leave the house without ______.,CAH: Blue Box Expansion
Life's pretty tough in the fast lane. That's why I never leave the house without ______.,CAH: Fifth Expansion
Lifetime® presents ___ - the story of ___.,Hilarious!
Lifetime® presents ___ the story of ___.,Cards Against/For South Africa
Lifetime® presents ______: the Story of ______.,CAH Base Set
"Lifetime® presents ""______: the Story of ______.""",CAH Base Set
"Like ______, State Farm is there.",PAX Prime 2014 - Panel Cards
"Like donkeys, Trump only sleeps for three hours a night. When he does, he dreams of ______.",Trumped UpCards: The World's Biggest Deck*
"Like Midas reborn, everything she touches turns to ______.",Crabs Adjust Humidity: Volume 1
"Like Santa, ______ is something only children and fools believe in.",Cats Abiding Horribly: Episode II - A New Low
"Listen Gary, I like you. But if you want that corner office, you're going to have to show me ______.",CAH: Blue Box Expansion
"Listen Gary, I like you. But if you want that corner office, you're going to have to show me ______.",CAH: Sixth Expansion
"Listen son, your mother and I are getting a divorce, and it's because of ______.",Evil Apples
"Listen, son. If you want to get involved with ______, I won’t stop you. Just steer clear of ______.",CAH: Red Box Expansion
"Listen, son. If you want to get involved with ______, I won’t stop you. Just steer clear of ______.",CAH: Third Expansion
Little Boy Blue go blow your ______.,Kids Against Maturity
"Little Miss Muffet Sat on a tuffet, Eating her curds and ______.",CAH : Second Expansion
"Little Miss Muffet Sat on a tuffet, Eating her curds and ______.",CAH: Red Box Expansion
"Live from Universal Studios, it's America's favorite game show! ""______ or ______?""",Absurd Box Expansion
Locking your coffin rack prevents berthing rats from pilfering your secret stash of ______.,Disgruntled Decks: Navy Edition
Long sultry nights at Camp David will be spent playing with _________.,"Bad Campaign, The Presidential Party Game!"
"Look at my record, I am the biggest proponent of _________.","Bad Campaign, The Presidential Party Game!"
Look before you ______.,Potheads Against Sanity
Look before you ______.,Potheads Against Sanity
Look before you ______.,Potheads Against Sanity
Look up at the sky and wish upon a _______.,Kids Create Absurdity
"Look, over there!
It's a bomb crater!
It's a mass grave!
No, it's ______!",Disgruntled Decks: Marine Corps/Jarhead Edition
Looking to earn big bucks? Learn how to make ______ work for you!,Retail Mini Pack
Looks like I picked the wrong day to quit ______.,Cards and Punishment Vol. Two
Loose lips sink ships. Don't ever discuss ______ or ______.,Disgruntled Decks: Navy Edition
"Loosely translated, my name means ______ in Japanese.",Cocks Abreast Hostility: Cock Pack One: Just The Tip
"Lord prepare me, to be ______.",The Catholic Card Game: Five Deck Expansion Pack
"Lord, give me purity, just not _____.",The Catholic Card Game: Base Deck
"Lord, I need ______.",The Catholic Card Game: Base Deck
"Love ______, use ______.",The Catholic Card Game: Five Deck Expansion Pack
"Love is patient, love is kind, love is ______.",The Catholic Card Game: Base Deck
"Love is patient, love is kind. Love is _____________.",Cads About Matrimony
"Love is patient.
Love is kind.
Love is _____________.",Cads About Matrimony Poly Pack
love means never having to say ______,That's What She Said Game - Second Expansion
Love means never having to sya________.,Cows Grilling Hamburgers - Patty Pack #1
Love without ______ is an empty experience.,Carps & Angsty Manatee - Volume 2
Lovin’ you is easy ’cause you’re ______.,CAH Base Set
Lovin’ you is easy ’cause you’re ______.,CAH: Red Box Expansion
Lovin’ you is easy ’cause you’re ______.,CAH: Third Expansion
"Loyalty, Duty, Respect, Selfless, Service, Honor, Integrity, Personal Courage, and ______: the newest Army Value.",Disgruntled Decks: Army Edition
LSD + ______ = really bad time.,CAH: Green Box Expansion
"Luke, I am your ______.",Kids Against Maturity
"Lynley Dodd's new book ""Hairy Maclary from ______""",Kiwis Versus Morality
"Ma'am, why are you crying?",Disgruntled Decks: Air Force Edition
"Ma'am, why are you sweating and breathing so heavily?",Disgruntled Decks: Army Edition
"Madam President, the asteroid is headed directly for Earth and there's only one thing that can stop it: ______.",Sci-Fi Pack
Magic Time! Watch me turn ______ into ______!,The Game Without Decency
Major League Baseball has banned ______ for giving players an unfair advantage.,CAH Base Set
Make _________ great again., 2016 Election Game 
Make _________(s) great again.,Humanity Hates Trump: Expansion Pack 1
"Make ______, not ______.","Guards Against Insanity, Edition 5"
Make a haiku.,CAH Base Set
Make America great at ______ again.,Cocks Abreast Hostility - Cock Pack Two: Fowls Deep
Make some room in your life for ______. It'll be worth it.,Rotten Apples: The Tasteless Adult Party Game
Make sure you have __________ and the rest will take care of itself.,Cads About Matrimony
Make sure you have __________ and the rest will take care of itself.,Cads About Matrimony Poly Pack
Making love to the person reading this card is like ______.,"Crows Adopt Vulgarity, Vol. 1"
Mama always said life is like ______.,Cards for the Masses
Mambo is a dance. Salsa is a _______________.,Carbs of the Huge Manatee: Dance Expansion 1
Man cannot live on ______ alone.,Rotten Apples: The Tasteless Adult Party Game
"Man, this is bullshit. Fuck ______.",CAH: Blue Box Expansion
"Man, this is bullshit. Fuck ______.",CAH: Fourth Expansion
Many questioned the Smithsonian's decision to feature an exhibit devoted to ______.,The Game Without Decency
Many woman feel that they have to choose between having a career and ______.,Dick
Maori wouldn't have mind if Pakeha had traded blankets and muskets and ______,Kiwis Versus Morality
March at our country's capital while I ______.,Potheads Against Sanity
Marco Rubio's only accomplishment in the Senate was _________., 2016 Election Game 
Margaret Atwood's next book is a thriller titled ______,Cards About Toronto
Marine Corps coloring books filled with pictures of ______ and ______ are now being issued to all Recruits.,Disgruntled Decks: Marine Corps/Jarhead Edition
Marines are to ______ as Sailors are to ______.,Disgruntled Decks: Marine Corps/Jarhead Edition
"Marines make numerous sacrifices to keep this country safe, which is why they should always be provided with ______.",Disgruntled Decks: Marine Corps/Jarhead Edition
"Marriage is a lot of work, which mainly consists of _____________.",Cads About Matrimony
"Marriage is a lot of work, which mainly consists of _____________.",Cads About Matrimony Poly Pack
Marriage is like ______: it's alawys over sooner than you think.,Evil Apples
Marriage: the end of ____________ and the beginning of ____________.,Cads About Matrimony
Marriage: the end of ____________ and the beginning of ____________.,Cads About Matrimony Poly Pack
Martha Stewart always says that you can never have enough ______ around the house.,The Game Without Decency
Martial law was declared because ________ + ________ don't mix.,Cows Grilling Hamburgers - Patty Pack #1
Martin Luther just couldn't wrap his head around ______.,The Catholic Card Game: Base Deck
Martin Luther King's real dream was _________.,"Humanity Hates Trump: Expansion Pack 2 - Humanity Hates Hillary, Too"
