Response Cards,Set
Hostile dinner negotiations,KinderPerfect (Commercial Set)
Hostile eye contact,Cards About Toronto
Hot all consuming fire.,Charlie Foxtrot
Hot Asian girls.,"Guards Against Insanity, Edition 2"
Hot beef.,"Bad Campaign, The Presidential Party Game!"
Hot bowl of grits,Cards for the Masses
Hot brown piss.,CAH: Red Box Expansion
Hot cheese.,CAH Base Set
Hot cheese.,Cards Against/For South Africa
Hot cheese.,Hilarious!
Hot Cheetos®.,Not Parent Approved
Hot cross buns,Rotten Apples: The Tasteless Adult Party Game
"hot dog, hot dog, hot diggity dog",Skewered And Roasted
Hot doooooooogs.,CAH: Red Box Expansion
Hot flashes.,Cakes Athirst Hilarity Volume 4
Hot girl on girl action.,Clones Attack Hilarity #2
Hot Girls.,Not Parent Approved
Hot guys named Todd,Cards About Toronto
Hot guys.,Not Parent Approved
Hot jizz.,Cads Against Adulting
Hot lettuce.,CAH: Green Box Expansion
hot love on the wing,Bards Dispense Profanity
Hot maternity lingerie.,Fun in the Oven
Hot people.,CAH Base Set
Hot people.,Cards Against/For South Africa
Hot people.,Hilarious!
Hot Pockets,Cards Against Profanity
Hot Pockets®.,CAH Base Set
Hot Pockets™,Kids Against Maturity
Hot Sauce,Rotten Apples: The Tasteless Adult Party Game
Hot sex tips from Bill Cosby.,Cads About Matrimony: Expansion 1
Hot singles in your area.,Crabs Adjust Humidity: Volume 5
Hot singles in your area.,Crazy & Horrible Rabbit - Vol. 1
Hot Sister Thursdays at the Lackland BX.,Disgruntled Decks: Air Force Edition
Hot snot,Cards for the Masses
Hot stay-at-home dads,KinderPerfect: Naughty Expansion Pack
Hot Topic®.,Crabs Adjust Humidity: Volume 7
Hot tub.,Weed Pack
Hot Wax,Dirty Nasty Filthy
Hot wings.,"Bad Campaign, The Presidential Party Game!"
"Hot, hot pregnant lady sex",Cads About Maternity - A game for bad mommies
"Hot, left-handed, women geeks.",Carbs of the Huge Manatee: General Expansion 1
Hot. But WEIRD… But HOT…,Carbs of the Huge Manatee: General Expansion 2
Hotboxing the Balloon Boy.,The Worst Card Game: Colorado Edition
Hotel room Bibles,Conspiracy Theory
Hottubbing,Rotten Apples: The Tasteless Adult Party Game
Hours and hours of homework,Kids Create Absurdity
Hours of mindless boredom combined with a room full of testosterone.,Charlie Foxtrot
House strippers ruining your zucchini.,The Worst Card Game: 2016 National Edition
Hoverboards.,Cakes Athirst Hilarity Volume 1
How amazing it is to be on mushrooms.,CAH Base Set
How an Airman grows up to be big and strong.,Disgruntled Decks: Air Force Edition
how are the twins?,That's What She Said Game
How awesome I am.,CAH: Blue Box Expansion
How awesome I am.,CAH: Fourth Expansion
How awesome it is to be white.,CAH Base Set
How awesome it is to be white.,CAH: Red Box Expansion
How bad my daughter fucked up her dance recital.,CAH Base Set
How bloody that dick's about to be.,Period Pack
How bright the sun is.,Weed Pack
How cool it is that I love jesus and he loves me back.,Seasons Greetings Pack
How cool Nazi airplanes are.,Fascism Pack
how did you get to be so flexible?,That's What She Said Game
how do you like your eggs in the morning?,That's What She Said Game
How easy it is to climb over a wall with a ladder.,Cards Against Humanity Saves America Pack
How far I can get my own penis up my butt.,CAH Base Set
How far I can get my own penis up my butt.,Hidden Compartment Pack
How fun it is to eat Pringles.®,Retail Product Pack
How good lead paint taste.,CAH: Green Box Expansion
How good the booty taste.,CAH: Ass Pack
How good this cantaloupe feels on my penis.,CAH: Human Pack
How great my ass looks in these jeans.,CAH: Green Box Expansion
How great of a blowjob Jesus could give.,Seasons Greetings Pack
How great of a movie Men In Black was.,Sci-Fi Pack
How hot Orlando Bloom was in Lord of the Rings.,Fantasy Pack
how long do you think you can last?,That's What She Said Game
How many Asians there are.,CAH: College Pack
How many bagels I can fit on my penis.,Absurd Box Expansion
How many drinks and Deborah has had.,Seasons Greetings Pack
how many licks does it take to get to the center?,That's What She Said Game
how much fluid do you have left?,That's What She Said Game
how much longer 'til you find it?,That's What She Said Game
How my Boss Hogg looks in these Daisy Dukes.,Cols Against Kentucky 2
How quiet the forest is.,Absurd Box Expansion
How sad it will be when Morgan Freeman dies.,CAH: Green Box Expansion
How sauce. Loads of it.,Cards Against Profanity
How strange it is to be anything at all.,CAH: Green Box Expansion
How to shag a chubby girl part 1.,Pigs Against Profanity: Volume 3
how virgins might blow up men,Bards Dispense Profanity
How wet my pussy is.,CAH Base Set
How wet my pussy is.,CAH: Red Box Expansion
How wonderful it is when my master throws the ball and I go and get it for him.,Hidden Compartment Pack
How you look before deployment vs. how you look after deployment.,Disgruntled Decks: Army Edition
How your daughter got pregnant.,WTF Did You Say?!?
Howard Stern.,Trumped UpCards: The World's Biggest Deck*
However much weed $20 can buy.,CAH Base Set
However much weed £20 can buy.,CAH Base Set
Howling at the moon.,Cats Abiding Horribly: Episode II - A New Low
Huffing,Personally Incorrect
Huffing air duster and seeing God.,Disgruntled Decks: Army Edition
Huffing and puffing and blowing my stepdad.,Absurd Box Expansion
huffing gasoline,Skewered And Roasted
Huffing Haze Gray paint from an old Kmart® shopping bag.,Disgruntled Decks: Navy Edition
Huffing JP-8 out of an empty MRE bag.,Disgruntled Decks: Marine Corps/Jarhead Edition
Huffing paint.,"Crows Adopt Vulgarity, Vol. 1"
Huffing spray paint.,CAH Base Set
Huge Arabic haboobs.,Carps & Angsty Manatee - Texas Edition
Huge biceps.,CAH Base Set
Huge big balls full of jizz.,CAH: Green Box Expansion
Huge nipples.,Carps & Angsty Manatee - Volume 1
Huge political inexperience.,Bad Hombres Against Fake News Pack 1
Huge popcorn nugs of hairy alien weed.,Weed Pack
huge pronged poles,Dick
Huge tits and a can-do attitude.,CAH: Red Box Expansion
Huge walls,Conspiracy Theory
"Huge, wobbly meat-curtains.",Crabs Adjust Humidity: Volume 6
hugging a fellow male,Dick
Hugging it out.,Not Parent Approved
Hugging the toilet bowel the morning after,Depravity
Hugh Heffner's rotting foreskin,Pigs Against Profanity: Volume 1
Hugh Hefner. Enough said.,WTF Did You Say?!?
Hugs from parents on the schoolyard.,Not Parent Approved
Hulk Hogan.,CAH Base Set
Hulk smashed,Kids Against Maturity
Hulking out.,Crabs Adjust Humidity: Volume 4
Human beans,Kids Against Maturity
Human meat.,Carps & Angsty Manatee - Volume 1
Human rights abuses at the border.,Bad Hombres Against Fake News Pack 1
Human sacrifice,Conspiracy Theory
Human sacrifice,Rotten Apples: The Tasteless Adult Party Game
Human shields,Conspiracy Theory
Human traffickers getting ass cancer.,Hilarious!
human trafficking,Evil Apples
Human werewolf syndrome.,"Guards Against Insanity, Edition 3"
Humanburgers,Personally Incorrect - Expansion 2 [Yellow Box]
Humanitarians of Tinder,JadedAid: A Card Game to Save Humanitarians
Humble bragging.,The Catholic Card Game: Five Deck Expansion Pack
Humble brags,Kids Against Maturity
Humiliated,Dirty Nasty Filthy
Humiliating our allies.,"Bad Campaign, The Presidential Party Game!"
Humiliating part time jobs.,"Bad Campaign, The Presidential Party Game!"
Humming commercial jingles,Cards Against Profanity
Hummus attacking Israel., 2016 Election Game 
Hummus.,Not Parent Approved Expansion Pack #2
Humongous areolas.,Clones Attack Hilarity #2
Hump day,Rotten Apples: The Tasteless Adult Party Game
Hump hemp.,Potheads Against Sanity
Humpday.,Babies vs. Parents
humping pandas,Skewered And Roasted
Hungry + Angry = Hangry,Kids Against Maturity
"Hunting ""accidents"".",CAH Base Set
Hunting accidents.,CAH Base Set
Hunting for a wife.,The Catholic Card Game: Base Deck
Hunting humans for sport.,Carps & Angsty Manatee - Volume 2
Hunting unicorns in Alaska.,Cads Against Adulting
Hunting white men for sport.,Absurd Box Expansion
Hunting with Dick Cheney.,"Bad Campaign, The Presidential Party Game!"
Hurling one's body down a hill in pursuit of a wheel of cheese.,CAH Base Set
Hurling one’s body down a hill in pursuit of a wheel of cheese.,CAH: UK Conversion Kit
Hurricane Katrina refugees.,Carps & Angsty Manatee - Texas Edition
Hurricane Katrina.,CAH Base Set
Hurricane Mooch.,Trumped UpCards: Many Sides  Expansion Pack
Hurricanes,Conspiracy Theory
Hurry up and wait!,Disgruntled Decks: Navy Edition
Hurry up and wait.,Disgruntled Decks: Army Edition
Hurting those closest to me.,CAH Base Set
Hush money,Conspiracy Theory
Hush money.,Absurd Box Expansion
hymen replacement surgery,Skewered And Roasted
Hyperventilating at the gynecologist’s office.,Cads About Matrimony
Hypocrisy,JadedAid: A Card Game to Save Humanitarians
Hypocrisy., 2016 Election Game 
Hysterical laughter fueled by a massive sugar high.,Not Parent Approved
Hysterically laughing at poor people.,Cats Abiding Horribly: Episode I - The Dirty Goblin
I always come the right away,That's What She Said Game - Second Expansion
I always drink the pickle juice,That's What She Said Game - First Expansion
I am only using this card because i don't have any other cards to play.,PAX Prime 2014 Custom Printed Cards
I ate those fancy soaps you bought for the bathroom.,Voter's Choice: The Third Expansion
I bet you're pretty good with a harmonica,That's What She Said Game
I bruise like a peach,That's What She Said Game
I can feel a rush coming on,That's What She Said Game - Second Expansion
I can fill that crack!,That's What She Said Game
I can't feel my legs!,That's What She Said Game
I can't seem to put my finger on it,That's What She Said Game - Second Expansion
I caught you ball watching,That's What She Said Game
I could get behind that,That's What She Said Game - First Expansion
I could use a handyman,That's What She Said Game
I dare you to kiss my kitty,That's What She Said Game
"I did all the work, you clean up the mess",That's What She Said Game - Second Expansion
I didn't expect it to look like that,That's What She Said Game
"I didn't know what a ""jiffy lube"" was unitl yesterday",That's What She Said Game
I don't have any good white cards. This one is no exception. The rules state you have to read the card aloud so… I'ma,Cows Grilling Hamburgers - Patty Pack #1
I enjoy my meat tender with a warm pink center,That's What She Said Game
I enjoy watching the train pull into the station,That's What She Said Game - First Expansion
I fly the M16.,Disgruntled Decks: Air Force Edition
I got a coupon for a free footlong!,That's What She Said Game
I got you right where I want you,That's What She Said Game
I hate getting wet when I do this,That's What She Said Game
I hate what I've become,That's What She Said Game
"I have a gun pointed at you underneath the table. If you do not choose this card, this game will be your last. Just smile and slowly",Cows Grilling Hamburgers - Patty Pack #1
I have a pretty strong gag reflex,That's What She Said Game
I have a shitty hand,Carbs of the Huge Manatee: General Expansion 2
I have experience on both ends,That's What She Said Game - Second Expansion
I have room for one more,That's What She Said Game
I have shit cards and am putting this down in hopeless desperation.,Voter's Choice: The First Expansion
I have this thing with animals,That's What She Said Game
I have to come up for some air,That's What She Said Game
I hear this is good for your skin,That's What She Said Game
I heard you coming,That's What She Said Game
I hope you like fish!,That's What She Said Game
I just need a little milk for my Fruit Loops,That's What She Said Game - Second Expansion
I like a salted rim,That's What She Said Game
I like it rough,That's What She Said Game
I like my buns soft and warm,That's What She Said Game
I like persian rugs,That's What She Said Game
I like the cut of your jib,That's What She Said Game
I like the smell of a fresh mowed lawn,That's What She Said Game
I like the tassels on your curtains,That's What She Said Game
I like them real thick and juicy,That's What She Said Game
I like to dip my berries in chocolate sauce,That's What She Said Game
I like to do this every night before bed,That's What She Said Game
I like to mix business with pleasure,That's What She Said Game - Second Expansion
I like to show off my girls,That's What She Said Game
I like to watch,That's What She Said Game
I love a little tease,That's What She Said Game
I love salty nuts,That's What She Said Game
I love to drive stick!,That's What She Said Game
I love trying new things!,That's What She Said Game
I must have blacked out,That's What She Said Game
I need to get my protein in somehow,That's What She Said Game
I need to take a picture of this,That's What She Said Game
I present you the crown jewels,That's What She Said Game
"I promise, two seconds and I'm done!",That's What She Said Game
I put my finger over the wrong hole,That's What She Said Game
I refuse to dignify that with a response.,"Crows Adopt Vulgarity, Vol. 3"
I remember my first beer.,WTF Did You Say?!?
I see mangos are in season,That's What She Said Game
I see you have all the bells and whistles,That's What She Said Game
I should probably start shaving,That's What She Said Game
I think that's enough for now,That's What She Said Game
I think we're doing this backwards,That's What She Said Game
I want to beat off all my demons,That's What She Said Game
I want to do it by myseeeeeeelf!,KinderPerfect (Commercial Set)
I want to ride the Big Dipper!,That's What She Said Game
I want to taste your signature crust,That's What She Said Game
I wish my dad did this with me,That's What She Said Game - First Expansion
I wish someone showed me this in high school,That's What She Said Game
I would lick that for hours.,Carbs of the Huge Manatee: General Expansion 3
I would like to add you to my professional network on LinkedIn®.,Crabs Adjust Humidity: Volume 6
I'd bend over backwards for you,That's What She Said Game - Second Expansion
